word,embedding
CA_ADDRESS_SK,"[-0.7400220632553101, -0.3838234841823578, 0.7668033838272095, 1.262367844581604, 0.26699164509773254, -0.1294621378183365, -1.9786370992660522, -2.115227460861206, -1.7258857488632202, -1.6530057191848755, -0.3646317720413208, 1.6515614986419678, -0.39936766028404236, -0.018434541299939156, -0.8815521001815796, 0.6538797616958618]"
CA_COUNTRY,"[-0.14460855722427368, 0.33484864234924316, 0.006126353982836008, 0.3389242887496948, 0.4376511871814728, -0.11282974481582642, -0.37850821018218994, -0.3586481213569641, 0.2670803368091583, -0.3596329092979431, -0.12684254348278046, 0.31322094798088074, -0.14839453995227814, 0.17823296785354614, 0.14619766175746918, 0.29385319352149963]"
CA_GMT_OFFSET,"[0.5422917008399963, 0.985489547252655, 0.1153840646147728, 0.6606249213218689, 1.8642677068710327, -0.29787057638168335, -1.4805412292480469, -1.0653222799301147, 0.40734586119651794, -0.6337847709655762, -1.3708958625793457, -0.1349969506263733, 0.7456040382385254, 1.092155933380127, -0.09828479588031769, -0.34518739581108093]"
CA_STATE,"[0.1718730330467224, 0.7168745398521423, -0.17296838760375977, -0.18571597337722778, 0.7050658464431763, -0.5724619626998901, -0.24115049839019775, -1.1023714542388916, 0.7705317735671997, -1.217986822128296, 0.09713795781135559, 0.37392282485961914, -0.8569122552871704, 0.668705940246582, -0.16626706719398499, 1.0169786214828491]"
CA_ZIP,"[0.709568440914154, 0.7091421484947205, 0.8740985989570618, -1.0021271705627441, 1.0712147951126099, -0.953601062297821, 0.19614551961421967, -0.392991840839386, 0.9242567420005798, -1.0863265991210938, 0.08566377311944962, 0.0460624098777771, -0.6653803586959839, 0.7672958970069885, 0.08241651952266693, 0.7147677540779114]"
CC_CALL_CENTER_SK,"[0.008391432464122772, -0.14528445899486542, 0.4113466143608093, 0.1306125968694687, 0.28034281730651855, -0.13213065266609192, -0.5277637839317322, -0.1857300102710724, -0.09927266091108322, -0.6557775735855103, -0.2891579866409302, 0.2938673794269562, -0.05440185219049454, -0.08918394893407822, -0.04295080527663231, 0.0815252736210823]"
CD_DEMO_SK,"[-0.6650658845901489, -0.6662648916244507, 1.1654655933380127, 0.8385770320892334, 0.6405021548271179, 0.04089348763227463, -1.0062384605407715, -0.35880735516548157, -0.2261536419391632, -1.0738134384155273, -0.6882095336914062, 0.9576322436332703, -0.26124826073646545, -0.5056082010269165, -0.31850990653038025, -0.3429015278816223]"
CD_EDUCATION_STATUS,"[-0.5205943584442139, 2.2169768810272217, 0.07126156985759735, 0.9029132723808289, 0.9844857454299927, -0.4291897118091583, -0.5614681243896484, -0.927219569683075, 0.7012578248977661, -2.214949607849121, 0.2908286154270172, 0.33495593070983887, 0.7186373472213745, 1.099991798400879, 1.1699705123901367, 0.7908505201339722]"
CD_GENDER,"[-0.12874934077262878, 0.31732434034347534, -0.05114106833934784, 0.43770596385002136, 0.5968456864356995, -0.10294081270694733, -0.3795219659805298, -0.46457090973854065, 0.32980504631996155, -0.40182197093963623, -0.08226107060909271, 0.45482245087623596, -0.19163177907466888, 0.18377305567264557, 0.23816712200641632, 0.3514612913131714]"
CD_MARITAL_STATUS,"[-0.33400022983551025, 2.2747669219970703, 0.1282082051038742, 1.1319411993026733, 0.8545856475830078, -0.3990711271762848, -0.8148160576820374, -0.6374169588088989, 0.7075726389884949, -2.2787280082702637, 0.5219801664352417, 0.3453487753868103, 0.49819618463516235, 1.3067927360534668, 1.0809736251831055, 0.7890723347663879]"
CHAR_NAME,"[-0.604181706905365, -0.734601616859436, 1.1000276803970337, 0.26766374707221985, -0.24916774034500122, -0.300263911485672, -1.4650118350982666, 0.2234140783548355, -0.6739851236343384, 0.020032819360494614, -0.268375039100647, 1.5759035348892212, 0.14434339106082916, 0.9154462814331055, 0.8785468935966492, 1.4612542390823364]"
COMMENTCOUNT,"[-0.12747345864772797, 0.4995094835758209, 1.222227931022644, -0.380927711725235, 0.03408610820770264, 0.3969007730484009, -0.6176190972328186, 0.18911311030387878, -0.08159707486629486, -0.525437593460083, -0.44439104199409485, 0.4085001051425934, 0.41871172189712524, 0.34655576944351196, 0.04674713686108589, 0.19720664620399475]"
COMMENTS,"[-0.5692980289459229, 0.7301880717277527, 1.7837647199630737, -1.4486933946609497, 0.9790586233139038, 0.636579692363739, -2.845412015914917, 0.6260495185852051, 0.43038102984428406, -0.38284599781036377, 0.28034377098083496, 1.4587844610214233, 0.9286532402038574, -0.05586777254939079, 0.3627389669418335, 0.4333098828792572]"
COMPANY_ID,"[-0.3121122419834137, 0.514465868473053, 0.8586921095848083, -1.2254257202148438, 0.89289790391922, -0.37281858921051025, -2.2202048301696777, -1.5852482318878174, 0.7676435112953186, 0.44144758582115173, -0.5535523295402527, 1.881906270980835, 0.3033377230167389, 0.6214122176170349, 2.053328275680542, 1.0736908912658691]"
COMPANY_NAME,"[-1.7579388618469238, -0.6301456093788147, 1.1520391702651978, -0.024185096845030785, 1.1087809801101685, -1.7529855966567993, -1.3489534854888916, -1.870462417602539, 1.416096568107605, -0.18795081973075867, -0.2920478880405426, 0.576135516166687, -1.2288447618484497, 2.060091018676758, 2.185149908065796, 0.18414270877838135]"
COMPANY_TYPE,"[0.3744434416294098, 0.7113230228424072, 0.7211243510246277, -0.41084063053131104, -0.6064586043357849, -0.28683939576148987, -2.5635015964508057, -2.7531442642211914, 0.8476569056510925, 0.12161263078451157, -0.5101202130317688, 0.8880252242088318, -0.35890141129493713, 2.3374924659729004, 1.2602952718734741, 1.504561424255371]"
COMPANY_TYPE_ID,"[-1.005262851715088, -1.0770463943481445, 1.2195603847503662, -1.149226427078247, 1.539392352104187, -0.41152241826057434, -1.869709849357605, -2.454744338989258, 0.6879403591156006, 0.335941344499588, -0.481030136346817, 1.4705694913864136, -0.03970181196928024, 1.4812730550765991, 0.6352803111076355, 0.3247860074043274]"
COUNT,"[0.11596845090389252, 0.8104013800621033, 0.24342894554138184, -0.29570406675338745, 0.7042582035064697, -0.4251612722873688, -0.3741990029811859, -0.12093062698841095, 0.030791202560067177, -1.598832368850708, -0.8915892243385315, -0.1761871576309204, -0.5878248810768127, 0.3496704399585724, -0.6590778231620789, 0.6790767908096313]"
COUNTRY_CODE,"[-0.431788831949234, 1.2626687288284302, 1.086342215538025, -0.7184094190597534, 1.415614366531372, -1.1080381870269775, -1.3886038064956665, -1.3744381666183472, 1.8167587518692017, -0.16299138963222504, -0.3480273485183716, 1.0726977586746216, -0.36141011118888855, -0.34815114736557007, 2.086561918258667, 0.8271098136901855]"
CREATIONDATE,"[-0.45545437932014465, 0.25235775113105774, 2.0814669132232666, -0.46109944581985474, 0.27319222688674927, 0.8258994817733765, -1.0181875228881836, 0.3280949294567108, -0.1984645426273346, -0.7259666919708252, -0.6663596630096436, 0.809226393699646, 0.36692896485328674, 0.4858432412147522, 0.20702053606510162, 0.2580588161945343]"
CR_CALL_CENTER_SK,"[-0.04249601438641548, -0.14896546304225922, 0.36599570512771606, 0.1331232786178589, 0.26429757475852966, -0.12078449130058289, -0.5591138601303101, -0.1451672464609146, -0.09367187321186066, -0.5891028642654419, -0.3061913251876831, 0.38123196363449097, -0.03315788134932518, 0.014550223015248775, -0.11837660521268845, 0.03109097294509411]"
CR_ITEM_SK,"[-0.0215903352946043, -0.23330016434192657, 0.32761991024017334, 0.18029627203941345, 0.28198689222335815, -0.24233096837997437, -0.7605522871017456, -0.1419980525970459, 0.0041538686491549015, -0.7608340382575989, -0.5385281443595886, 0.03592832759022713, 0.3181081712245941, 0.06021950766444206, 0.24883821606636047, 0.04632185027003288]"
CR_ORDER_NUMBER,"[-0.07401497662067413, -0.18263767659664154, 0.30961090326309204, 0.21805818378925323, 0.2936781346797943, -0.28196269273757935, -0.8118624687194824, -0.07010287046432495, -0.025803646072745323, -0.7499967813491821, -0.5468652248382568, 0.022398747503757477, 0.3218136131763458, 0.16072815656661987, 0.2482225000858307, 0.032734859734773636]"
CR_RETURNED_DATE_SK,"[0.3160494863986969, -0.217628613114357, 0.2528952956199646, -0.09138812124729156, 0.3206581473350525, -0.28409332036972046, -0.587197482585907, -0.4467841386795044, -0.003117331536486745, -0.8291684985160828, -0.46681711077690125, 0.6109946370124817, 0.1964612603187561, -0.420878529548645, -0.1264045387506485, 0.05044357478618622]"
CR_RETURNING_CDEMO_SK,"[0.1380338966846466, -0.19007524847984314, 0.5757392048835754, 0.2940009832382202, 0.24074958264827728, -0.08328026533126831, -0.6336612701416016, -0.097515769302845, -0.3325381875038147, -0.6752543449401855, -0.3475595712661743, 0.4645368456840515, -0.0423545315861702, -0.07159204035997391, -0.18455220758914948, -0.1563968062400818]"
CR_RETURNING_CUSTOMER_SK,"[-0.261359840631485, -0.15173785388469696, 0.16361132264137268, 0.03372834622859955, 0.3908082842826843, -0.072883740067482, -0.8039410710334778, -0.26553818583488464, -0.5666674375534058, -0.8125359416007996, -0.5820425152778625, 0.4303210377693176, 0.011421747505664825, 0.00017483971896581352, 0.08665736764669418, -0.23025570809841156]"
CR_RETURNING_HDEMO_SK,"[-0.11107651889324188, -0.13888181746006012, 0.7054897546768188, 0.1250457614660263, 0.015779908746480942, -0.2130148708820343, -0.12927456200122833, -0.4150911867618561, -0.16089197993278503, -0.7301161885261536, -0.5651213526725769, 0.42585471272468567, -0.1525631546974182, -0.23610380291938782, 0.15243162214756012, 0.05105671286582947]"
CS_BILL_ADDR_SK,"[0.030857833102345467, -0.16155624389648438, 0.16882455348968506, 0.17099608480930328, 0.15468598902225494, -0.12764433026313782, -0.3969455361366272, -0.1186012476682663, -0.07027208805084229, -0.5713310837745667, -0.245662122964859, 0.4119226336479187, 0.008221357129514217, -0.03129587695002556, -0.2882504463195801, -0.011036096140742302]"
CS_BILL_CDEMO_SK,"[0.18908803164958954, -0.34635061025619507, 0.7711160778999329, 0.34085819125175476, 0.32369571924209595, -0.1295882761478424, -0.7703680992126465, -0.2171678990125656, -0.4605353772640228, -0.8208671808242798, -0.4333142340183258, 0.6741802096366882, -0.030225390568375587, -0.10781781375408173, -0.2289840131998062, -0.35236766934394836]"
CS_BILL_CUSTOMER_SK,"[-0.8253626227378845, -0.42771345376968384, 0.6398733258247375, 0.24774710834026337, 0.6478635668754578, -0.8323239088058472, -2.255837917327881, -0.4679180681705475, 0.030824711546301842, -1.5401664972305298, -1.2202322483062744, 0.09269116073846817, 1.9224001169204712, 0.982440173625946, 1.1076947450637817, 0.1848868876695633]"
CS_ITEM_SK,"[-0.4358851909637451, -0.3913131356239319, 0.7688429951667786, 1.1678621768951416, 0.5543419718742371, -1.1767868995666504, -2.301177978515625, -0.5879006385803223, 0.5159881114959717, -0.9689844250679016, -1.3648285865783691, 0.49117520451545715, 1.6132044792175293, 0.7800294160842896, -0.042320869863033295, -0.40235745906829834]"
CS_ORDER_NUMBER,"[-0.030184699222445488, -0.1738242357969284, 0.3292005956172943, 0.16735796630382538, 0.2737849950790405, -0.293947696685791, -0.6070005893707275, -0.12814244627952576, 0.04311545565724373, -0.6652463674545288, -0.4791601896286011, 0.07061170786619186, 0.26937973499298096, 0.18447017669677734, 0.2229660451412201, 0.13758310675621033]"
CS_PROMO_SK,"[-0.33220210671424866, -0.22882194817066193, 0.6270468235015869, 0.4299575090408325, 0.25465795397758484, -0.007372850552201271, -0.7739187479019165, 0.01462378166615963, -0.3462238609790802, -0.6239632964134216, -0.5666621327400208, 0.6044141054153442, 0.06107588857412338, -0.05714385583996773, -0.48589760065078735, -0.07092674821615219]"
CS_SALES_PRICE,"[0.06869526207447052, 0.3601701855659485, 0.24989503622055054, -0.06740979850292206, 0.2738227844238281, -0.18734923005104065, -0.04092787951231003, -0.20066699385643005, 0.009557434357702732, -0.44803714752197266, -0.12445012480020523, 0.04677388817071915, -0.16031281650066376, 0.45904573798179626, -0.1204003170132637, 0.3145064115524292]"
CS_SOLD_DATE_SK,"[0.4895235002040863, -0.40576907992362976, 0.36169520020484924, -0.22676703333854675, 0.5183489322662354, -0.37712734937667847, -0.8747275471687317, -0.7582066059112549, 0.049710266292095184, -1.1247081756591797, -0.575852632522583, 1.0431416034698486, 0.4771011471748352, -0.6452853083610535, -0.09565907716751099, 0.20631638169288635]"
CS_WAREHOUSE_SK,"[-0.016433533281087875, -0.026843199506402016, 0.3237011432647705, 0.06344927102327347, 0.2253696769475937, -0.2089007943868637, -0.45244112610816956, -0.06852634996175766, -0.025604378432035446, -0.5470075011253357, -0.25810810923576355, 0.25187551975250244, 0.04765855520963669, 0.05709250643849373, 0.006323614623397589, 0.13844792544841766]"
CTR_CUSTOMER_SK,"[0.011057876981794834, 0.06680446118116379, 0.07520243525505066, 0.004701831843703985, 0.11766038835048676, -0.102135568857193, -0.15139025449752808, -0.008901778608560562, 0.024878136813640594, -0.16541707515716553, -0.14917442202568054, 0.061242882162332535, -0.0011708129895851016, 0.01981247402727604, 8.122035978885833e-06, 0.003126196563243866]"
CTR_STORE_SK,"[-0.05019038915634155, 0.014152596704661846, 0.12859591841697693, 0.020817646756768227, 0.06908437609672546, -0.09532979875802994, -0.15886646509170532, -0.0694478377699852, -0.011843462474644184, -0.2621004283428192, -0.05699476599693298, 0.07532387971878052, 0.043073538690805435, 0.03900725767016411, -0.06893393397331238, 0.02639482170343399]"
CUSTDIST,"[0.060129668563604355, 0.0999838262796402, 0.24491004645824432, -0.0842490866780281, 0.45023858547210693, -0.14062722027301788, -0.4413285255432129, -0.02542450651526451, 0.008507841266691685, -0.6694201231002808, -0.5898182988166809, 0.36383798718452454, -0.33901700377464294, 0.22285646200180054, -0.3134390711784363, 0.39129555225372314]"
